Date,SMI,Conflict_Active,Conflict_Type,Conflict_Aspect,Conflict_Intensity,Conflict_Signals,Yogas,Temporal,USA_Score,USA_Signals,India_Score,India_Signals
2026-06-04,1.8,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-05,1.8,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-06,4.3,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-07,1.8,False,,,0.0,,Grahan Yoga (Lunar) (Public Panic/Sentiment Volatility),,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-08,1.8,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-09,5.3,False,,,0.0,,Graha Yudha (Jupiter-Venus) (Planetary War between Jupiter and Venus. Conflict and instability.),,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-10,5.3,False,,,0.0,,Graha Yudha (Jupiter-Venus) (Planetary War between Jupiter and Venus. Conflict and instability.),,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-11,1.8,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-12,1.8,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-13,1.8,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-14,1.8,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-15,1.8,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-16,1.8,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-17,1.8,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-18,1.8,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-19,1.8,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-20,1.8,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-21,1.8,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-22,4.3,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-23,1.8,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-24,1.8,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-25,1.8,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-26,4.3,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-27,1.8,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-28,1.8,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-29,1.8,False,,,0.0,,,,-2,USA: Jupiter in 8th (International Debt/Trade Re-alignment),0,
2026-06-30,1.8,False,,,0.0,,,,0,,0,
2026-07-01,1.8,False,,,0.0,,,,0,,0,
2026-07-02,1.8,False,,,0.0,,,,0,,0,
2026-07-03,4.3,False,,,0.0,,,,0,,0,
2026-07-04,4.3,False,,,0.0,,Grahan Yoga (Lunar) (Public Panic/Sentiment Volatility),,0,,0,
2026-07-05,1.8,False,,,0.0,,,,0,,0,
2026-07-06,1.8,False,,,0.0,,,,0,,0,
2026-07-07,1.8,False,,,0.0,,,,0,,0,
2026-07-08,1.8,False,,,0.0,,,,0,,0,
2026-07-09,1.8,False,,,0.0,,,,0,,0,
2026-07-10,1.8,False,,,0.0,,,,0,,0,
2026-07-11,1.8,False,,,0.0,,,,0,,0,
2026-07-12,1.8,False,,,0.0,,,,0,,0,
2026-07-13,1.8,False,,,0.0,,,,0,,0,
2026-07-14,1.8,False,,,0.0,,,,0,,0,
2026-07-15,1.8,False,,,0.0,,,,0,,0,
2026-07-16,1.8,False,,,0.0,,,,0,,0,
2026-07-17,1.8,False,,,0.0,,,,0,,0,
2026-07-18,1.8,False,,,0.0,,,,0,,0,
2026-07-19,1.8,False,,,0.0,,,,0,,0,
2026-07-20,4.3,False,,,0.0,,,,0,,0,
2026-07-21,1.8,False,,,0.0,,,,0,,0,
2026-07-22,1.8,False,,,0.0,,,,0,,0,
2026-07-23,1.8,False,,,0.0,,,,0,,0,
2026-07-24,4.3,False,,,0.0,,,,0,,0,
2026-07-25,1.8,False,,,0.0,,,,0,,0,
2026-07-26,1.8,False,,,0.0,,,,0,,0,
2026-07-27,1.8,False,,,0.0,,,,0,,0,
2026-07-28,1.8,False,,,0.0,,,,0,,0,
2026-07-29,1.8,False,,,0.0,,,,0,,0,
2026-07-30,1.8,False,,,0.0,,,,0,,0,
2026-07-31,5.8,False,,,0.0,,Grahan Yoga (Lunar) (Public Panic/Sentiment Volatility),,0,,0,
2026-08-01,1.8,False,,,0.0,,,,0,,0,
2026-08-02,1.8,False,,,0.0,,,,0,,0,
2026-08-03,1.8,False,,,0.0,,,,0,,0,
2026-08-04,1.8,False,,,0.0,,,,0,,0,
2026-08-05,1.8,False,,,0.0,,,,0,,0,
2026-08-06,1.8,False,,,0.0,,,,0,,0,
2026-08-07,1.8,False,,,0.0,,,,0,,0,
2026-08-08,1.8,False,,,0.0,,,,0,,0,
2026-08-09,1.8,False,,,0.0,,,,0,,0,
2026-08-10,1.8,False,,,0.0,,,,0,,0,
2026-08-11,1.8,False,,,0.0,,,,0,,0,
2026-08-12,1.8,False,,,0.0,,,Total/Annular Solar Eclipse (Axis: Aquarius/Leo),0,,0,
2026-08-13,1.8,False,,,0.0,,,Total/Annular Solar Eclipse (Axis: Aquarius/Leo),0,,0,
2026-08-14,4.3,False,,,0.0,,,,0,,0,
2026-08-15,7.8,False,,,0.0,,Graha Yudha (Mercury-Jupiter) (Planetary War between Mercury and Jupiter. Conflict and instability.),,0,,0,
2026-08-16,4.3,False,,,0.0,,,,0,,0,
2026-08-17,4.3,False,,,0.0,,,,0,,0,
2026-08-18,4.3,False,,,0.0,,,,0,,0,
2026-08-19,4.3,False,,,0.0,,,,0,,0,
2026-08-20,4.3,False,,,0.0,,,,0,,0,
2026-08-21,5.3,True,cold_siege,square,5.7,"Mars-Saturn equal strength → defaulting to COLD SIEGE (Saturn restricts); Energy: DEMAND DESTRUCTION — factories stop, oil demand collapses; All cyclicals: Recession fear driven selloff",,,0,,0,
2026-08-22,5.3,True,cold_siege,square,14.4,"Mars-Saturn equal strength → defaulting to COLD SIEGE (Saturn restricts); Energy: DEMAND DESTRUCTION — factories stop, oil demand collapses; All cyclicals: Recession fear driven selloff",,,0,,0,
2026-08-23,5.3,True,cold_siege,square,23.0,"Mars-Saturn equal strength → defaulting to COLD SIEGE (Saturn restricts); Energy: DEMAND DESTRUCTION — factories stop, oil demand collapses; All cyclicals: Recession fear driven selloff",,,0,,0,
2026-08-24,5.3,True,cold_siege,square,31.6,"Mars-Saturn equal strength → defaulting to COLD SIEGE (Saturn restricts); Energy: DEMAND DESTRUCTION — factories stop, oil demand collapses; All cyclicals: Recession fear driven selloff",,,0,,0,
2026-08-25,5.3,True,cold_siege,square,40.3,"Mars-Saturn equal strength → defaulting to COLD SIEGE (Saturn restricts); Energy: DEMAND DESTRUCTION — factories stop, oil demand collapses; All cyclicals: Recession fear driven selloff",,,0,,0,
2026-08-26,5.3,True,cold_siege,square,48.9,"Mars-Saturn equal strength → defaulting to COLD SIEGE (Saturn restricts); Energy: DEMAND DESTRUCTION — factories stop, oil demand collapses; All cyclicals: Recession fear driven selloff",,,0,,0,
2026-08-27,5.3,True,cold_siege,square,57.6,"Mars-Saturn equal strength → defaulting to COLD SIEGE (Saturn restricts); Energy: DEMAND DESTRUCTION — factories stop, oil demand collapses; All cyclicals: Recession fear driven selloff",Grahan Yoga (Lunar) (Public Panic/Sentiment Volatility),Total/Annular Lunar Eclipse (Axis: Aquarius/Leo),0,,0,
2026-08-28,2.8,True,cold_siege,square,66.2,"Mars-Saturn equal strength → defaulting to COLD SIEGE (Saturn restricts); Energy: DEMAND DESTRUCTION — factories stop, oil demand collapses; All cyclicals: Recession fear driven selloff",,Total/Annular Lunar Eclipse (Axis: Aquarius/Leo),0,,0,
2026-08-29,2.8,True,cold_siege,square,74.8,"Mars-Saturn equal strength → defaulting to COLD SIEGE (Saturn restricts); Energy: DEMAND DESTRUCTION — factories stop, oil demand collapses; All cyclicals: Recession fear driven selloff",,,0,,0,
2026-08-30,2.8,True,cold_siege,square,83.5,"Mars-Saturn equal strength → defaulting to COLD SIEGE (Saturn restricts); Energy: DEMAND DESTRUCTION — factories stop, oil demand collapses; All cyclicals: Recession fear driven selloff",,,0,,0,
